Date,Open,High,Low,Close,Volume
2026-05-24 09:30,1.0890,1.0895,1.0888,1.0892,1200
2026-05-24 09:31,1.0892,1.0898,1.0891,1.0897,980
2026-05-24 09:32,1.0897,1.0905,1.0896,1.0902,1500
2026-05-24 09:33,1.0902,1.0903,1.0892,1.0894,1100
2026-05-24 09:34,1.0894,1.0896,1.0885,1.0888,1350
2026-05-24 09:35,1.0888,1.0894,1.0887,1.0893,890
2026-05-24 09:36,1.0893,1.0901,1.0892,1.0899,1050
2026-05-24 09:37,1.0899,1.0904,1.0898,1.0903,1250
2026-05-24 09:38,1.0903,1.0912,1.0901,1.0910,1700
2026-05-24 09:39,1.0910,1.0911,1.0902,1.0904,1420
2026-05-24 09:40,1.0904,1.0908,1.0899,1.0901,950
2026-05-24 09:41,1.0901,1.0905,1.0893,1.0895,1150
